user_id,signup_date,city,device,is_test_user,created_at
U031972,2024-03-17,Delhi,iOS,false,2024-03-19 15:04:00
U001251,,delhi,,,2024-04-09 02:46:00
U013752,,,android,true,2024-05-13 16:27:00
U011161,2024/02/23,delhi,android,false,2024-01-24 00:03:00
U036824,2024-03-08,mumbai,iOS,true,2024-01-17 21:19:00
U033835,,,iOS,,2024-03-11 19:59:00
U044609,2024-03-13,Chennai,android,false,2024-02-15 06:12:00
U004347,2024/03/12,,Android,true,2024-03-09 12:19:00
U021097,2024-01-09,Bangalore ,,,2024-03-31 07:25:00
U001490,2024/03/06,mumbai,android,false,2024-04-20 21:17:00
U010932,2024/03/20,Bangalore ,iOS,true,2024-03-06 14:35:00
U025268,2024/02/01,Chennai,,true,2024-05-01 16:18:00
U001327,2024/01/12,DELHI,,,2024-01-11 14:49:00
U009942,,Chennai,iOS,true,2024-04-24 14:16:00
U032495,2024/03/10,delhi,iOS,false,2024-04-05 00:45:00
U027248,22-03-2024,Bangalore ,,,2024-02-04 07:20:00
U011023,2024-03-29,delhi,android,false,2024-03-26 16:43:00
U029464,2024/01/07,Delhi,Android,true,2024-05-11 11:02:00
U040472,,mumbai,iOS,,2024-03-30 08:44:00
U000325,2024/01/22,mumbai,,true,2024-01-12 12:07:00
U040291,2024/03/01,Delhi,Android,true,2024-02-23 08:30:00
U034907,07-01-2024,Delhi,,true,2024-01-18 07:21:00
U017013,2024-02-13,,iOS,true,2024-04-09 10:03:00
U007774,25-03-2024,delhi,iOS,true,2024-05-04 20:41:00
U047861,2024/03/01,Chennai,iOS,,2024-04-19 20:19:00
U016830,2024/02/06,DELHI,iOS,,2024-03-01 06:28:00
U004638,10-02-2024,delhi,,false,2024-05-11 21:04:00
U004836,2024-02-30,Chennai,iOS,false,2024-01-13 16:14:00
U042375,14-03-2024,,Android,false,2024-03-31 11:02:00
U030187,,delhi,Android,true,2024-02-19 14:29:00
U040357,01-03-2024,Chennai,,false,2024-03-20 04:19:00
U036487,,Mumbai,iOS,true,2024-02-18 01:59:00
U026812,26-03-2024,Chennai,,,2024-04-01 17:26:00
